Slime ID, Wave Number, Fitness Pool, Min Path Distance To Sheep, Total Path Distance,Sheep Distance Fitness,Parent One, Parent Two, Main Type, Secondary Type,Main Resistance Gene, Main Resistance Trait, Secondary Resistance Gene, Secondary Resistance Trait, Tower Attraction Gene, Tower Attraction Trait, Slime Optimal Distance Gene, Slime Optimal Distance Trait, Speed Gene, Speed Trait, Turn Rate Gene, Turn Rate Trait, Time Alive After Increased Alignment Strength,
75, 7, 0, 89.18015, 94.3001, 554.4457, 174,213,Blaster,Fire,0.55,0.55,0.35,0.35,-6.733032,2.015792,-0.4508382,0.3822029,4.397505,4.467068,-2.597273,0.225459,0,
76, 7, 0, 99.30363, 106.7143, 498.4864, 255,236,Basic,Basic,0.55,0.55,0.35,0.35,5.146224,6.839602,0.4565758,0.5887209,0.2975841,2.526855,1.450317,0.4093511,0,
77, 7, 0, 91.09073, 95.30955, 542.9428, 288,188,Blaster,Fire,0.55,0.55,0.35,0.35,1.523745,2.943897,2.411727,1.425663,4.818046,4.731897,0.4321854,0.3489416,0,
78, 7, 0, 71.00013, 77.44069, 694.4432, 266,259,Blaster,Fire,0.55,0.55,0.35,0.35,1.402289,2.890262,-0.4508382,0.3822029,3.735483,4.073679,-2.901254,0.2168426,0,
79, 7, 0, 111.9576, 118.942, 442.6438, 184,125,Basic,Shock,0.55,0.55,0.35,0.35,-0.338988,2.380618,1.359245,0.894493,3.100605,3.725011,-2.358129,0.2326488,0,
80, 7, 0, 59.1195, 63.11151, 831.677, 206,149,Blaster,Blaster,0.55,0.55,0.35,0.35,1.523745,2.943897,-2.582835,0.1350075,4.818046,4.731897,-0.9064159,0.2850348,0,
81, 7, 0, 84.14836, 87.51302, 587.2104, 58,195,Blaster,Blaster,0.55,0.55,0.35,0.35,1.075787,2.760247,0.5931963,0.6277293,-0.5536602,2.265025,1.215411,0.3944413,0,
82, 7, 0, 78.04717, 82.24634, 632.5337, 165,43,Blaster,Blaster,0.55,0.55,0.35,0.35,1.075787,2.760247,-2.198575,0.1631393,1.921835,3.154349,-0.3414056,0.3100047,0,
83, 7, 0, 129.0472, 135.8848, 384.4758, 142,48,Basic,Fire,0.55,0.55,0.35,0.35,-1.936645,2.172669,-0.9383379,0.3020232,5.767309,5.367644,-6.575287,0.1484228,0,
84, 7, 0, 96.93169, 101.8101, 510.5599, 28,163,Laser,Blaster,0.55,0.55,0.35,0.35,2.291232,3.361379,-0.7688981,0.3278503,2.017959,3.197153,-1.189519,0.2735464,0,
85, 7, 0, 98.36536, 104.7372, 503.1935, 124,243,Blaster,Fire,0.55,0.55,0.35,0.35,2.044085,3.210792,0.5931963,0.6277293,1.965962,3.173918,-2.891958,0.2170977,0,
86, 7, 0, 103.3478, 109.5408, 479.1668, 194,19,Shock,Blaster,0.55,0.55,0.35,0.35,-1.597844,2.204283,0.1944496,0.5201654,4.500354,4.5308,-0.3227132,0.3108792,0,
87, 7, 0, 81.18701, 86.14994, 608.3687, 139,39,Blaster,Laser,0.55,0.55,0.35,0.35,-2.254364,2.147457,-0.4508382,0.3822029,4.877759,4.77039,6.686805,0.8954438,0,
88, 7, 0, 87.43871, 99.28838, 565.3633, 75,89,Blaster,Blaster,0.55,0.55,0.35,0.35,-1.20452,2.248239,0.7311004,0.6695395,-0.256305,2.351654,1.330551,0.4016747,0,
89, 7, 0, 85.7935, 90.50317, 576.08, 258,259,Blaster,Ice,0.55,0.55,0.35,0.35,-0.556386,2.34195,-0.4508382,0.3822029,5.651697,5.287673,-2.901254,0.2168426,0,
90, 7, 0, 40.89501, 44.60258, 1193.46, 201,67,Blaster,Blaster,0.55,0.55,0.35,0.35,1.479158,2.923856,2.964851,1.79819,-1.004477,2.143036,-3.537772,0.2005632,0,
91, 7, 0, 95.08234, 99.48563, 520.387, 202,294,Blaster,Basic,0.55,0.55,0.35,0.35,-3.079701,2.097794,-0.4092104,0.389928,1.363423,2.918523,6.313932,0.8526923,0,
92, 7, 0, 59.15067, 62.22901, 831.246, 151,293,Blaster,Blaster,0.55,0.55,0.35,0.35,0.4296703,2.555026,-1.419695,0.2389624,1.242586,2.870331,-0.7853881,0.2901501,0,
